answer_id,question_id,subject,modality,answer_file,markmax,examiner_1_mark,examiner_2_mark,examiner_1_ao_marks,examiner_2_ao_marks
eng_0001,english_01,english,typed,answers/english/eng_0001.txt,8,5,5,,
eng_0002,english_01,english,typed,answers/english/eng_0002.txt,8,7,7,,
eng_0003,english_01,english,typed,answers/english/eng_0003.txt,8,4,7,,
eng_0004,english_01,english,typed,answers/english/eng_0004.txt,8,2,3,,
eng_0005,english_01,english,typed,answers/english/eng_0005.txt,8,7,8,,
eng_0006,english_01,english,typed,answers/english/eng_0006.txt,8,4,7,,
eng_0007,english_01,english,typed,answers/english/eng_0007.txt,8,3,6,,
eng_0008,english_01,english,typed,answers/english/eng_0008.txt,8,5,5,,
eng_0009,english_01,english,typed,answers/english/eng_0009.txt,8,8,7,,
eng_0010,english_01,english,typed,answers/english/eng_0010.txt,8,3,6,,
eng_0011,english_01,english,typed,answers/english/eng_0011.txt,8,6,7,,
eng_0012,english_01,english,typed,answers/english/eng_0012.txt,8,7,7,,
eng_0013,english_01,english,typed,answers/english/eng_0013.txt,8,5,5,,
eng_0014,english_01,english,typed,answers/english/eng_0014.txt,8,3,3,,
eng_0015,english_01,english,typed,answers/english/eng_0015.txt,8,5,4,,
eng_0016,english_01,english,typed,answers/english/eng_0016.txt,8,6,5,,
eng_0017,english_01,english,typed,answers/english/eng_0017.txt,8,7,8,,
eng_0018,english_01,english,typed,answers/english/eng_0018.txt,8,4,6,,
eng_0019,english_01,english,typed,answers/english/eng_0019.txt,8,4,3,,
eng_0020,english_01,english,typed,answers/english/eng_0020.txt,8,6,8,,
eng_0021,english_01,english,typed,answers/english/eng_0021.txt,8,4,2,,
eng_0022,english_01,english,typed,answers/english/eng_0022.txt,8,6,6,,
eng_0023,english_01,english,typed,answers/english/eng_0023.txt,8,2,4,,
eng_0024,english_01,english,typed,answers/english/eng_0024.txt,8,7,8,,
eng_0025,english_01,english,typed,answers/english/eng_0025.txt,8,2,2,,
eng_0026,english_01,english,typed,answers/english/eng_0026.txt,8,0,0,,
eng_0027,english_01,english,typed,answers/english/eng_0027.txt,8,2,2,,
eng_0028,english_01,english,typed,answers/english/eng_0028.txt,8,7,7,,
eng_0029,english_01,english,typed,answers/english/eng_0029.txt,8,4,0,,
eng_0030,english_01,english,typed,answers/english/eng_0030.txt,8,5,6,,
eng_0031,english_02,english,typed,answers/english/eng_0031.txt,8,7,7,,
eng_0032,english_02,english,typed,answers/english/eng_0032.txt,8,4,5,,
eng_0033,english_02,english,typed,answers/english/eng_0033.txt,8,4,2,,
eng_0034,english_02,english,typed,answers/english/eng_0034.txt,8,6,5,,
eng_0035,english_02,english,typed,answers/english/eng_0035.txt,8,3,3,,
eng_0036,english_02,english,typed,answers/english/eng_0036.txt,8,4,6,,
eng_0037,english_02,english,typed,answers/english/eng_0037.txt,8,4,6,,
eng_0038,english_02,english,typed,answers/english/eng_0038.txt,8,3,4,,
eng_0039,english_02,english,typed,answers/english/eng_0039.txt,8,0,0,,
eng_0040,english_02,english,typed,answers/english/eng_0040.txt,8,4,5,,
eng_0041,english_02,english,typed,answers/english/eng_0041.txt,8,6,6,,
eng_0042,english_02,english,typed,answers/english/eng_0042.txt,8,4,0,,
eng_0043,english_02,english,typed,answers/english/eng_0043.txt,8,5,6,,
eng_0044,english_02,english,typed,answers/english/eng_0044.txt,8,4,2,,
eng_0045,english_02,english,typed,answers/english/eng_0045.txt,8,8,8,,
eng_0046,english_02,english,typed,answers/english/eng_0046.txt,8,5,6,,
eng_0047,english_02,english,typed,answers/english/eng_0047.txt,8,7,7,,
eng_0048,english_02,english,typed,answers/english/eng_0048.txt,8,2,2,,
eng_0049,english_02,english,typed,answers/english/eng_0049.txt,8,3,5,,
eng_0050,english_02,english,typed,answers/english/eng_0050.txt,8,6,8,,
eng_0051,english_02,english,typed,answers/english/eng_0051.txt,8,2,1,,
eng_0052,english_02,english,typed,answers/english/eng_0052.txt,8,8,6,,
eng_0053,english_02,english,typed,answers/english/eng_0053.txt,8,7,8,,
eng_0054,english_02,english,typed,answers/english/eng_0054.txt,8,2,1,,
eng_0055,english_02,english,typed,answers/english/eng_0055.txt,8,5,5,,
eng_0056,english_02,english,typed,answers/english/eng_0056.txt,8,3,3,,
eng_0057,english_02,english,typed,answers/english/eng_0057.txt,8,7,8,,
eng_0058,english_02,english,typed,answers/english/eng_0058.txt,8,4,5,,
eng_0059,english_02,english,typed,answers/english/eng_0059.txt,8,7,7,,
eng_0060,english_02,english,typed,answers/english/eng_0060.txt,8,4,6,,
eng_0061,english_06,english,typed,answers/english/eng_0061.txt,20,13,20,,
eng_0062,english_06,english,typed,answers/english/eng_0062.txt,20,5,7,,
eng_0063,english_06,english,typed,answers/english/eng_0063.txt,20,12,17,,
eng_0064,english_06,english,typed,answers/english/eng_0064.txt,20,17,17,,
eng_0065,english_06,english,typed,answers/english/eng_0065.txt,20,15,15,,
eng_0066,english_06,english,typed,answers/english/eng_0066.txt,20,0,0,,
eng_0067,english_06,english,typed,answers/english/eng_0067.txt,20,11,11,,
eng_0068,english_06,english,typed,answers/english/eng_0068.txt,20,15,13,,
eng_0069,english_06,english,typed,answers/english/eng_0069.txt,20,17,16,,
eng_0070,english_06,english,typed,answers/english/eng_0070.txt,20,16,14,,
eng_0071,english_06,english,typed,answers/english/eng_0071.txt,20,9,13,,
eng_0072,english_06,english,typed,answers/english/eng_0072.txt,20,14,7,,
eng_0073,english_06,english,typed,answers/english/eng_0073.txt,20,11,13,,
eng_0074,english_06,english,typed,answers/english/eng_0074.txt,20,2,2,,
eng_0075,english_06,english,typed,answers/english/eng_0075.txt,20,9,10,,
eng_0076,english_06,english,typed,answers/english/eng_0076.txt,20,3,2,,
eng_0077,english_06,english,typed,answers/english/eng_0077.txt,20,16,16,,
eng_0078,english_06,english,typed,answers/english/eng_0078.txt,20,5,9,,
eng_0079,english_06,english,typed,answers/english/eng_0079.txt,20,13,13,,
eng_0080,english_06,english,typed,answers/english/eng_0080.txt,20,19,20,,
eng_0081,english_06,english,typed,answers/english/eng_0081.txt,20,16,12,,
eng_0082,english_06,english,typed,answers/english/eng_0082.txt,20,11,14,,
eng_0083,english_06,english,typed,answers/english/eng_0083.txt,20,5,7,,
eng_0084,english_06,english,typed,answers/english/eng_0084.txt,20,7,9,,
eng_0085,english_06,english,typed,answers/english/eng_0085.txt,20,17,19,,
eng_0086,english_06,english,typed,answers/english/eng_0086.txt,20,10,6,,
eng_0087,english_06,english,typed,answers/english/eng_0087.txt,20,17,17,,
eng_0088,english_06,english,typed,answers/english/eng_0088.txt,20,0,0,,
eng_0089,english_06,english,typed,answers/english/eng_0089.txt,20,16,20,,
eng_0090,english_06,english,typed,answers/english/eng_0090.txt,20,15,11,,
eng_0091,english_07,english,typed,answers/english/eng_0091.txt,40,23,38,AO5:16;AO6:7,AO5:24;AO6:14
eng_0092,english_07,english,typed,answers/english/eng_0092.txt,40,28,31,AO5:15;AO6:13,AO5:19;AO6:12
eng_0093,english_07,english,typed,answers/english/eng_0093.txt,40,13,19,AO5:8;AO6:5,AO5:12;AO6:7
eng_0094,english_07,english,typed,answers/english/eng_0094.txt,40,22,28,AO5:14;AO6:8,AO5:18;AO6:10
eng_0095,english_07,english,typed,answers/english/eng_0095.txt,40,27,27,AO5:14;AO6:13,AO5:17;AO6:10
eng_0096,english_07,english,typed,answers/english/eng_0096.txt,40,35,35,AO5:22;AO6:13,AO5:22;AO6:13
eng_0097,english_07,english,typed,answers/english/eng_0097.txt,40,28,25,AO5:16;AO6:12,AO5:15;AO6:10
eng_0098,english_07,english,typed,answers/english/eng_0098.txt,40,24,22,AO5:15;AO6:9,AO5:14;AO6:8
eng_0099,english_07,english,typed,answers/english/eng_0099.txt,40,19,19,AO5:11;AO6:8,AO5:12;AO6:7
eng_0100,english_07,english,typed,answers/english/eng_0100.txt,40,24,26,AO5:14;AO6:10,AO5:16;AO6:10
eng_0101,english_07,english,typed,answers/english/eng_0101.txt,40,3,5,AO5:2;AO6:1,AO5:3;AO6:2
eng_0102,english_07,english,typed,answers/english/eng_0102.txt,40,37,34,AO5:22;AO6:15,AO5:22;AO6:12
eng_0103,english_07,english,typed,answers/english/eng_0103.txt,40,25,33,AO5:12;AO6:13,AO5:20;AO6:13
eng_0104,english_07,english,typed,answers/english/eng_0104.txt,40,4,3,AO5:0;AO6:4,AO5:2;AO6:1
eng_0105,english_07,english,typed,answers/english/eng_0105.txt,40,26,16,AO5:13;AO6:13,AO5:9;AO6:7
eng_0106,english_07,english,typed,answers/english/eng_0106.txt,40,27,19,AO5:13;AO6:14,AO5:12;AO6:7
eng_0107,english_07,english,typed,answers/english/eng_0107.txt,40,27,16,AO5:13;AO6:14,AO5:10;AO6:6
eng_0108,english_07,english,typed,answers/english/eng_0108.txt,40,32,27,AO5:18;AO6:14,AO5:15;AO6:12
eng_0109,english_07,english,typed,answers/english/eng_0109.txt,40,31,33,AO5:16;AO6:15,AO5:19;AO6:14
eng_0110,english_07,english,typed,answers/english/eng_0110.txt,40,37,29,AO5:22;AO6:15,AO5:17;AO6:12
eng_0111,english_07,english,typed,answers/english/eng_0111.txt,40,40,34,AO5:24;AO6:16,AO5:20;AO6:14
eng_0112,english_07,english,typed,answers/english/eng_0112.txt,40,37,32,AO5:22;AO6:15,AO5:20;AO6:12
eng_0113,english_07,english,typed,answers/english/eng_0113.txt,40,14,20,AO5:8;AO6:6,AO5:13;AO6:7
eng_0114,english_07,english,typed,answers/english/eng_0114.txt,40,25,30,AO5:18;AO6:7,AO5:20;AO6:10
eng_0115,english_07,english,typed,answers/english/eng_0115.txt,40,18,22,AO5:8;AO6:10,AO5:12;AO6:10
eng_0116,english_07,english,typed,answers/english/eng_0116.txt,40,40,36,AO5:24;AO6:16,AO5:22;AO6:14
eng_0117,english_07,english,typed,answers/english/eng_0117.txt,40,23,25,AO5:14;AO6:9,AO5:16;AO6:9
eng_0118,english_07,english,typed,answers/english/eng_0118.txt,40,23,25,AO5:14;AO6:9,AO5:15;AO6:10
eng_0119,english_07,english,typed,answers/english/eng_0119.txt,40,32,30,AO5:19;AO6:13,AO5:17;AO6:13
eng_0120,english_07,english,typed,answers/english/eng_0120.txt,40,21,16,AO5:8;AO6:13,AO5:6;AO6:10
eng_0121,english_03,english,typed,answers/english/eng_0121.txt,8,2,2,,
eng_0122,english_03,english,typed,answers/english/eng_0122.txt,8,6,7,,
eng_0123,english_03,english,typed,answers/english/eng_0123.txt,8,4,5,,
eng_0124,english_03,english,typed,answers/english/eng_0124.txt,8,5,4,,
eng_0125,english_03,english,typed,answers/english/eng_0125.txt,8,0,0,,
eng_0126,english_03,english,typed,answers/english/eng_0126.txt,8,8,7,,
eng_0127,english_03,english,typed,answers/english/eng_0127.txt,8,8,6,,
eng_0128,english_03,english,typed,answers/english/eng_0128.txt,8,2,1,,
eng_0129,english_03,english,typed,answers/english/eng_0129.txt,8,7,8,,
eng_0130,english_03,english,typed,answers/english/eng_0130.txt,8,0,0,,
eng_0131,english_03,english,typed,answers/english/eng_0131.txt,8,6,3,,
eng_0132,english_03,english,typed,answers/english/eng_0132.txt,8,8,7,,
eng_0133,english_03,english,typed,answers/english/eng_0133.txt,8,6,6,,
eng_0134,english_03,english,typed,answers/english/eng_0134.txt,8,7,5,,
eng_0135,english_03,english,typed,answers/english/eng_0135.txt,8,7,7,,
eng_0136,english_03,english,typed,answers/english/eng_0136.txt,8,6,6,,
eng_0137,english_03,english,typed,answers/english/eng_0137.txt,8,6,5,,
eng_0138,english_03,english,typed,answers/english/eng_0138.txt,8,5,4,,
eng_0139,english_03,english,typed,answers/english/eng_0139.txt,8,4,6,,
eng_0140,english_03,english,typed,answers/english/eng_0140.txt,8,5,5,,
eng_0141,english_03,english,typed,answers/english/eng_0141.txt,8,7,7,,
eng_0142,english_03,english,typed,answers/english/eng_0142.txt,8,4,4,,
eng_0143,english_03,english,typed,answers/english/eng_0143.txt,8,8,7,,
eng_0144,english_03,english,typed,answers/english/eng_0144.txt,8,8,7,,
eng_0145,english_03,english,typed,answers/english/eng_0145.txt,8,5,5,,
eng_0146,english_03,english,typed,answers/english/eng_0146.txt,8,4,6,,
eng_0147,english_03,english,typed,answers/english/eng_0147.txt,8,7,7,,
eng_0148,english_03,english,typed,answers/english/eng_0148.txt,8,7,8,,
eng_0149,english_03,english,typed,answers/english/eng_0149.txt,8,7,7,,
eng_0150,english_03,english,typed,answers/english/eng_0150.txt,8,5,5,,
eng_0151,english_04,english,typed,answers/english/eng_0151.txt,12,11,11,,
eng_0152,english_04,english,typed,answers/english/eng_0152.txt,12,11,11,,
eng_0153,english_04,english,typed,answers/english/eng_0153.txt,12,6,7,,
eng_0154,english_04,english,typed,answers/english/eng_0154.txt,12,7,6,,
eng_0155,english_04,english,typed,answers/english/eng_0155.txt,12,9,8,,
eng_0156,english_04,english,typed,answers/english/eng_0156.txt,12,9,10,,
eng_0157,english_04,english,typed,answers/english/eng_0157.txt,12,5,4,,
eng_0158,english_04,english,typed,answers/english/eng_0158.txt,12,3,8,,
eng_0159,english_04,english,typed,answers/english/eng_0159.txt,12,1,0,,
eng_0160,english_04,english,typed,answers/english/eng_0160.txt,12,5,5,,
eng_0161,english_04,english,typed,answers/english/eng_0161.txt,12,5,4,,
eng_0162,english_04,english,typed,answers/english/eng_0162.txt,12,5,5,,
eng_0163,english_04,english,typed,answers/english/eng_0163.txt,12,10,12,,
eng_0164,english_04,english,typed,answers/english/eng_0164.txt,12,4,4,,
eng_0165,english_04,english,typed,answers/english/eng_0165.txt,12,8,7,,
eng_0166,english_04,english,typed,answers/english/eng_0166.txt,12,7,7,,
eng_0167,english_04,english,typed,answers/english/eng_0167.txt,12,0,0,,
eng_0168,english_04,english,typed,answers/english/eng_0168.txt,12,8,6,,
eng_0169,english_04,english,typed,answers/english/eng_0169.txt,12,8,10,,
eng_0170,english_04,english,typed,answers/english/eng_0170.txt,12,10,8,,
eng_0171,english_04,english,typed,answers/english/eng_0171.txt,12,10,10,,
eng_0172,english_04,english,typed,answers/english/eng_0172.txt,12,5,3,,
eng_0173,english_04,english,typed,answers/english/eng_0173.txt,12,9,11,,
eng_0174,english_04,english,typed,answers/english/eng_0174.txt,12,9,8,,
eng_0175,english_04,english,typed,answers/english/eng_0175.txt,12,12,12,,
eng_0176,english_04,english,typed,answers/english/eng_0176.txt,12,6,5,,
eng_0177,english_04,english,typed,answers/english/eng_0177.txt,12,10,8,,
eng_0178,english_04,english,typed,answers/english/eng_0178.txt,12,2,1,,
eng_0179,english_04,english,typed,answers/english/eng_0179.txt,12,7,7,,
eng_0180,english_04,english,typed,answers/english/eng_0180.txt,12,8,9,,
eng_0181,english_05,english,typed,answers/english/eng_0181.txt,16,15,14,,
eng_0182,english_05,english,typed,answers/english/eng_0182.txt,16,15,15,,
eng_0183,english_05,english,typed,answers/english/eng_0183.txt,16,9,6,,
eng_0184,english_05,english,typed,answers/english/eng_0184.txt,16,12,15,,
eng_0185,english_05,english,typed,answers/english/eng_0185.txt,16,10,14,,
eng_0186,english_05,english,typed,answers/english/eng_0186.txt,16,8,6,,
eng_0187,english_05,english,typed,answers/english/eng_0187.txt,16,4,4,,
eng_0188,english_05,english,typed,answers/english/eng_0188.txt,16,11,13,,
eng_0189,english_05,english,typed,answers/english/eng_0189.txt,16,8,9,,
eng_0190,english_05,english,typed,answers/english/eng_0190.txt,16,8,10,,
eng_0191,english_05,english,typed,answers/english/eng_0191.txt,16,13,14,,
eng_0192,english_05,english,typed,answers/english/eng_0192.txt,16,0,0,,
eng_0193,english_05,english,typed,answers/english/eng_0193.txt,16,9,12,,
eng_0194,english_05,english,typed,answers/english/eng_0194.txt,16,5,8,,
eng_0195,english_05,english,typed,answers/english/eng_0195.txt,16,1,1,,
eng_0196,english_05,english,typed,answers/english/eng_0196.txt,16,11,10,,
eng_0197,english_05,english,typed,answers/english/eng_0197.txt,16,14,8,,
eng_0198,english_05,english,typed,answers/english/eng_0198.txt,16,0,0,,
eng_0199,english_05,english,typed,answers/english/eng_0199.txt,16,15,15,,
eng_0200,english_05,english,typed,answers/english/eng_0200.txt,16,11,7,,
eng_0201,english_05,english,typed,answers/english/eng_0201.txt,16,10,12,,
eng_0202,english_05,english,typed,answers/english/eng_0202.txt,16,10,13,,
eng_0203,english_05,english,typed,answers/english/eng_0203.txt,16,5,8,,
eng_0204,english_05,english,typed,answers/english/eng_0204.txt,16,12,14,,
eng_0205,english_05,english,typed,answers/english/eng_0205.txt,16,15,16,,
eng_0206,english_05,english,typed,answers/english/eng_0206.txt,16,13,13,,
eng_0207,english_05,english,typed,answers/english/eng_0207.txt,16,7,7,,
eng_0208,english_05,english,typed,answers/english/eng_0208.txt,16,8,7,,
eng_0209,english_05,english,typed,answers/english/eng_0209.txt,16,7,7,,
eng_0210,english_05,english,typed,answers/english/eng_0210.txt,16,0,1,,
eng_0211,english_08,english,typed,answers/english/eng_0211.txt,40,36,28,AO5:23;AO6:13,AO5:20;AO6:8
eng_0212,english_08,english,typed,answers/english/eng_0212.txt,40,35,36,AO5:20;AO6:15,AO5:22;AO6:14
eng_0213,english_08,english,typed,answers/english/eng_0213.txt,40,23,31,AO5:15;AO6:8,AO5:18;AO6:13
eng_0214,english_08,english,typed,answers/english/eng_0214.txt,40,17,22,AO5:11;AO6:6,AO5:13;AO6:9
eng_0215,english_08,english,typed,answers/english/eng_0215.txt,40,23,23,AO5:14;AO6:9,AO5:14;AO6:9
eng_0216,english_08,english,typed,answers/english/eng_0216.txt,40,5,25,AO5:3;AO6:2,AO5:15;AO6:10
eng_0217,english_08,english,typed,answers/english/eng_0217.txt,40,26,32,AO5:16;AO6:10,AO5:20;AO6:12
eng_0218,english_08,english,typed,answers/english/eng_0218.txt,40,22,27,AO5:13;AO6:9,AO5:13;AO6:14
eng_0219,english_08,english,typed,answers/english/eng_0219.txt,40,17,16,AO5:11;AO6:6,AO5:8;AO6:8
eng_0220,english_08,english,typed,answers/english/eng_0220.txt,40,39,40,AO5:24;AO6:15,AO5:24;AO6:16
eng_0221,english_08,english,typed,answers/english/eng_0221.txt,40,33,36,AO5:20;AO6:13,AO5:21;AO6:15
eng_0222,english_08,english,typed,answers/english/eng_0222.txt,40,0,12,AO5:0;AO6:0,AO5:0;AO6:12
eng_0223,english_08,english,typed,answers/english/eng_0223.txt,40,27,34,AO5:16;AO6:11,AO5:21;AO6:13
